id,doc,parser,command
DOC-CMD-001,README.md,gonken-cli,gonken-agent status
DOC-CMD-002,README.md,gonken-cli,gonken-agent wake status --json
DOC-CMD-003,docs/ENVIRONMENT_CONTROL.md,gonken-cli,gonken-agent env status --json
DOC-CMD-004,docs/ENVIRONMENT_CONTROL.md,gonken-cli,gonken-agent env health
DOC-CMD-005,docs/ENVIRONMENT_CONTROL.md,gonken-cli,gonken-agent env read
DOC-CMD-006,docs/ENVIRONMENT_CONTROL.md,gonken-cli,gonken-agent env watch --interval 2 --count 3
DOC-CMD-007,docs/ENVIRONMENT_CONTROL.md,gonken-cli,gonken-agent env fan on
DOC-CMD-008,docs/ENVIRONMENT_CONTROL.md,gonken-cli,gonken-agent env fan off
DOC-CMD-009,docs/ENVIRONMENT_CONTROL.md,gonken-cli,gonken-agent env mode set automatic
DOC-CMD-010,docs/ENVIRONMENT_CONTROL.md,gonken-cli,gonken-agent env policy set --start-c 28 --stop-c 26.5
DOC-CMD-011,docs/SIMULATION.md,gonken-cli,gonken-agent env simulate status
DOC-CMD-012,docs/SIMULATION.md,gonken-cli,gonken-agent env simulate sensor set --temperature-c 27 --humidity-pct 50
DOC-CMD-013,docs/SIMULATION.md,gonken-cli,gonken-agent env simulate sensor stale --age-seconds 30
DOC-CMD-014,docs/SIMULATION.md,gonken-cli,gonken-agent env simulate sensor recover --temperature-c 27 --humidity-pct 50
DOC-CMD-015,docs/SIMULATION.md,gonken-cli,gonken-agent env simulate fan behavior normal
DOC-CMD-016,docs/SIMULATION.md,gonken-cli,gonken-agent env simulate fan fail-next-write
DOC-CMD-017,docs/ENVIRONMENT_ACCEPTANCE_RUN.md,environment-runner,environment_acceptance_runner.py --output-dir /tmp/gonken-m10-7-evidence --plan-only --json
DOC-CMD-018,docs/ENVIRONMENT_ACCEPTANCE_RUN.md,environment-runner,environment_acceptance_runner.py --output-dir /tmp/gonken-m10-7-evidence --allow-actuation --json
DOC-CMD-019,docs/TROUBLESHOOTING.md,gonken-cli,gonken-agent env probe --json
DOC-CMD-020,docs/TROUBLESHOOTING.md,gonken-cli,gonken-agent env policy show --json
DOC-CMD-021,docs/TROUBLESHOOTING.md,gonken-cli,gonken-agent wake status --json
DOC-CMD-022,docs/development/V09_SIMULATION_HIL_EXTENSION_PLAN.md,ci,./scripts/ci.sh --phase t0
