requirement_id,requirement,blueprint_section,checkpoint,expected_files,tests,documentation,evidence_tier,acceptance_gate,status
SIM-SENSOR,Production-supported simulated SHT31-side backend,V09_SIMULATION_HIL_EXTENSION_PLAN sections 2 and 3,17,src/gonken_agent/environment/sensors/simulated.py; src/gonken_agent/environment/daemon.py; src/gonken_agent/config.py,unit simulated sensor; IPC simulation sensor set/fault/reset; invalid input tests,docs/SIMULATION.md,E1/E2,simulation foundations host gate,HOST_VERIFIED_CP17
SIM-ACTUATOR,Production-supported simulated fan/actuator backend,V09_SIMULATION_HIL_EXTENSION_PLAN sections 2 and 4,17,src/gonken_agent/environment/actuators/simulated.py; src/gonken_agent/environment/daemon.py,unit simulated actuator; fail-next-write; unavailable; no libgpiod import,docs/SIMULATION.md,E1/E2,simulation foundations host gate,HOST_VERIFIED_CP17
SIM-HYBRID,Independent sensor and actuator backend axes,V09_SIMULATION_HIL_EXTENSION_PLAN sections 2 and 5,19,src/gonken_agent/config.py; src/gonken_agent/environment/daemon.py,backend matrix construction; hybrid evidence classification tests,docs/SIMULATION.md; docs/ENVIRONMENT_ACCEPTANCE_RUN.md,E2/E3,hybrid HIL gate,PARTIAL_HOST_VERIFIED_CP17
SIM-PROVENANCE,Report sensor/actuator backend and physical evidence boundary,V09_SIMULATION_HIL_EXTENSION_PLAN section 5,18,src/gonken_agent/environment/domain.py; service.py; diagnostics.py; support.py; dashboard.py,status health watch support dashboard provenance tests,docs/SIMULATION.md; docs/ENVIRONMENT_CONTROL.md,E1/E2,no false physical acceptance,PARTIAL_HOST_VERIFIED_CP17
SIM-FAULTS,Inject sensor and actuator faults without bypassing controller,V09_SIMULATION_HIL_EXTENSION_PLAN sections 3 and 4,17,protocol.py; service.py; simulated adapters,fault injection unit and IPC tests,docs/SIMULATION.md,E1/E2,fault campaign,HOST_VERIFIED_CP17
SIM-CLI,Operator simulation command family,V09_SIMULATION_HIL_EXTENSION_PLAN sections 3 and 4,18,src/gonken_agent/cli.py; client.py; protocol.py,CLI parse and IPC tests for env simulate,docs/SIMULATION.md,E2,operator simulation gate,PLANNED
WATCH-PASSIVE,Live watch must not affect controller state,V09_SIMULATION_HIL_EXTENSION_PLAN section 2.4,18,service.py; protocol.py; cli.py,passive snapshot tests; no sample-count mutation; no actuator write,docs/OPERATIONS.md; docs/ENVIRONMENT_CONTROL.md,E1/E2,watch non-observer gate,PLANNED
VOICE-SIM-TRUTH,Voice must distinguish measured and simulated values,V09_SIMULATION_HIL_EXTENSION_PLAN sections 5 and 7,19,environment/responses.py; environment/intents.py; voice_runtime.py,voice provenance response tests,docs/ENVIRONMENT_CONTROL.md; docs/SIMULATION.md,E2,voice simulation truthfulness gate,PLANNED
VOICE-AUTO-ANNOUNCE,Voice-owned autonomous environment announcements,V09_SIMULATION_HIL_EXTENSION_PLAN section 8,20,voice_runtime.py; environment/events.py or service.py,announcement queue/dedup/no-overlap tests,docs/ENVIRONMENT_CONTROL.md; docs/OPERATIONS.md,E2,audio arbitration gate,PLANNED
WAKE-GONKEN,Default wake phrase becomes GonKen,V09_SIMULATION_HIL_EXTENSION_PLAN section 7,20,config/defaults.toml; config.py; tests; docs,config and docs literal tests; wake baseline tests,README.md; docs/OPERATIONS.md; docs/TROUBLESHOOTING.md,E1/E2,host wake default gate,PLANNED
